Item,Item_Coefficient,Item_Appraisal
exceptional_items_other,0.5480,0.605
expense_interest,4.7147,5.205
fixed_asset_depreciation,4.3452,4.797
income_taxes,2.5994,2.87
intangibles_amortized,4.2820,4.727
minority_interest,2.8706,3.169
net_items,3.9539,4.365
projected_delta_recurring_earnings_to_price,9.0114,9.948
sales_net,4.5697,5.045
sga_expense,4.3558,4.809
