Industry,Indus_Coefficient,Indus_Appraisal
AUTO MANUFACTURERS,0.1364,0.12
BUSINESS CREDIT,0.0993,0.088
"CONST,RAILROAD,MINING MACHINER",0.0931,0.082
TRUCKS & TRAILERS,0.1274,0.112
