Industry,Indus_Coefficient,Indus_Appraisal
AUTO MANUFACTURERS,0.3912,0.31
BUSINESS CREDIT,0.5797,0.459
"CONST,RAILROAD,MINING MACHINER",0.7197,0.57
TRUCKS & TRAILERS,0.4799,0.38
