Item,Item_Coefficient,Item_Appraisal
exceptional_items_other,0.5480,0.868
exchange_gains_ai,2.2182,3.512
fixed_asset_depreciation,4.3452,6.879
income_taxes,2.5994,4.115
intangibles_amortized,4.2820,6.779
interest_expense_before_tax,4.4850,7.101
minority_interest,2.8706,4.545
non_operating_in_x_ot,4.4195,6.997
non_operating_investment_income,4.1876,6.63
projected_delta_recurring_earnings_to_price,9.0114,14.267
sales_cost,4.5500,7.204
sales_net,4.5697,7.235
sga_expense,4.3558,6.896
