Industry,Indus_Coefficient,Indus_Appraisal
BANKS,0.1584,0.157
INSURANCE-CASUALTY & MISC,0.7288,0.723
INVESTMENT MANAGEMENT,0.2967,0.294
LIFE INSURANCE,0.5592,0.555
