Industry,Indus_Coefficient,Indus_Appraisal
BANKS,0.966,0.994
INSURANCE-CASUALTY & MISC,1.0393,1.069
INVESTMENT MANAGEMENT,1.0487,1.079
LIFE INSURANCE,0.989,1.017
