Industry,Indus_Coefficient,Indus_Appraisal
BANKS,0.5587,0.409
INSURANCE-CASUALTY & MISC,0.5927,0.434
INVESTMENT MANAGEMENT,0.629,0.461
LIFE INSURANCE,0.5206,0.382
