Item,Item_Coefficient,Item_Appraisal
exceptional_items_other,0.5480,0.803
expense_interest,4.7147,6.911
fixed_asset_depreciation,4.3452,6.369
income_taxes,2.5994,3.81
intangibles_amortized,4.2820,6.277
minority_interest,2.8706,4.208
non_operating_in_x_ot,4.4195,6.478
projected_delta_recurring_earnings_to_price,9.0114,13.209
sales_net,4.5697,6.698
sga_expense,4.3558,6.385
