Industry,Indus_Coefficient,Indus_Appraisal
APPAREL,1.1759,0.932
HOUSEHOLD ITEMS,1.3198,1.046
"LEATHER,SHOES & LUGGAGE",1.2498,0.99
WHOLESALE TRADE-OTHER,1.2238,0.969
