Industry,Indus_Coefficient,Indus_Appraisal
APPAREL,0.6260,0.374
HOUSEHOLD ITEMS,0.9097,0.543
"LEATHER,SHOES & LUGGAGE",0.7376,0.441
WHOLESALE TRADE-OTHER,0.7810,0.466
